FPR,TPR,Threshold
0.0,0.0,1.9394481286983516
0.0,0.010752688172043012,0.9394481286983517
0.0,0.0967741935483871,0.8824213030642077
0.041666666666666664,0.0967741935483871,0.8752674219586659
0.041666666666666664,0.11827956989247312,0.8653412787081303
0.0625,0.11827956989247312,0.8633038445262907
0.0625,0.12903225806451613,0.8609858986891842
0.08333333333333333,0.12903225806451613,0.8592765348316727
0.08333333333333333,0.13978494623655913,0.8581560662117466
0.125,0.13978494623655913,0.8532841484571607
0.125,0.1827956989247312,0.8348793568402496
0.14583333333333334,0.1827956989247312,0.8324783407042154
0.14583333333333334,0.21505376344086022,0.8291242904451291
0.16666666666666666,0.21505376344086022,0.8269009976374123
0.16666666666666666,0.22580645161290322,0.8230867622742671
0.1875,0.22580645161290322,0.8220031582659003
0.1875,0.23655913978494625,0.8208090933316402
0.20833333333333334,0.23655913978494625,0.8202120578352466
0.20833333333333334,0.3010752688172043,0.8110473333435312
0.22916666666666666,0.3010752688172043,0.8103539046930398
0.22916666666666666,0.3225806451612903,0.8066922371082321
0.25,0.3225806451612903,0.8057757397798211
0.25,0.34408602150537637,0.803482105171879
0.2916666666666667,0.34408602150537637,0.8025242034065603
0.2916666666666667,0.3655913978494624,0.8021398492705708
0.3125,0.3655913978494624,0.800794979306141
0.3125,0.5698924731182796,0.7826366947121249
0.3333333333333333,0.5698924731182796,0.7796202356848762
0.3333333333333333,0.6774193548387096,0.7575350163719916
0.3541666666666667,0.6774193548387096,0.7523290491175763
0.3541666666666667,0.6989247311827957,0.751288304671484
0.375,0.6989247311827957,0.750386323750807
0.375,0.8924731182795699,0.7105820357920346
0.4375,0.8924731182795699,0.7040390599250385
0.4375,0.978494623655914,0.6673033055094403
0.4583333333333333,0.978494623655914,0.6556660534511206
0.4583333333333333,0.989247311827957,0.6423774217885602
0.4791666666666667,0.989247311827957,0.6260775504981657
0.4791666666666667,1.0,0.6133126314125213
1.0,1.0,0.13661662634054944
